show,season,episode,characters_lines,characters_words
The Office,2,05,"{'Michael': 150, 'Pam': 27, 'Sherri': 11, 'Dwight': 36, 'Jim': 31, 'Phyllis': 5, 'Oscar': 7, 'Angela': 14, 'Kevin': 2, 'Kelly': 3, 'Stanley': 5, 'Ryan': 1, 'Creed': 27, 'Devon': 8, 'Children': 1, 'Kid': 3, 'Toby': 7, 'Jan': 10}","{'Michael': 1855, 'Pam': 196, 'Sherri': 58, 'Dwight': 489, 'Jim': 419, 'Phyllis': 10, 'Oscar': 14, 'Angela': 76, 'Kevin': 3, 'Kelly': 30, 'Stanley': 27, 'Ryan': 11, 'Creed': 237, 'Devon': 82, 'Children': 3, 'Kid': 10, 'Toby': 58, 'Jan': 69}"
The Office,2,06,"{'Dwight': 68, 'Jim': 49, 'Stanley': 9, 'Pam': 27, 'Michael': 94, 'Ryan': 18, 'Kevin': 4, 'Toby': 3, 'Angela': 6, 'Kelly': 4, 'Ira': 9, 'Master': 9, 'Oscar': 2, 'Meredith': 1, 'Alyssa': 1}","{'Dwight': 601, 'Jim': 414, 'Stanley': 53, 'Pam': 267, 'Michael': 1274, 'Ryan': 62, 'Kevin': 10, 'Toby': 21, 'Angela': 38, 'Kelly': 15, 'Ira': 59, 'Master': 60, 'Oscar': 16, 'Meredith': 8, 'Alyssa': 4}"
The Office,2,07,"{'Ryan': 8, 'Jim': 52, 'Pam': 40, 'Jan': 55, 'Michael': 85, 'Oscar': 5, 'Toby': 1, 'Kelly': 1, 'Dwight': 23, 'Christian': 19, 'Hostess': 1, 'Everyone': 1, 'Phyllis': 5, 'Roy': 1, 'Kevin': 2, 'Stanley': 1, 'Angela': 1}","{'Ryan': 49, 'Jim': 611, 'Pam': 321, 'Jan': 377, 'Michael': 1223, 'Oscar': 52, 'Toby': 3, 'Kelly': 8, 'Dwight': 218, 'Christian': 167, 'Hostess': 3, 'Everyone': 2, 'Phyllis': 27, 'Roy': 3, 'Kevin': 11, 'Stanley': 11, 'Angela': 11}"
The Office,2,08,"{'Dwight': 50, 'Jim': 48, 'Michael': 123, 'Pam': 35, 'Stanley': 5, 'Angela': 2, 'Jan': 60, 'Kevin': 4, 'Oscar': 5, 'Ryan': 14, 'Kelly': 1}","{'Dwight': 595, 'Jim': 361, 'Michael': 1513, 'Pam': 259, 'Stanley': 51, 'Angela': 50, 'Jan': 611, 'Kevin': 19, 'Oscar': 74, 'Ryan': 93, 'Kelly': 9}"
The Office,2,09,"{'Michael': 126, 'Jim': 51, 'Kevin': 12, 'Dwight': 37, 'Oscar': 6, 'Stanley': 4, 'Angela': 14, 'Pam': 47, 'Mark': 2, 'Ryan': 6, 'Mary-Beth': 17, 'Actor': 1, 'Actress': 1, 'Bill': 6, 'Kelly': 2, 'Phyllis': 7, 'Toby': 1, 'Roy': 7}","{'Michael': 1669, 'Jim': 555, 'Kevin': 102, 'Dwight': 363, 'Oscar': 48, 'Stanley': 25, 'Angela': 54, 'Pam': 322, 'Mark': 10, 'Ryan': 30, 'Mary-Beth': 125, 'Actor': 6, 'Actress': 1, 'Bill': 74, 'Kelly': 22, 'Phyllis': 71, 'Toby': 17, 'Roy': 76}"
The Office,2,10,"{'Dwight': 51, 'Michael': 94, 'Kevin': 14, 'Jim': 27, 'Angela': 10, 'Phyllis': 8, 'Ryan': 18, 'Pam': 22, 'Darryl': 12, 'Toby': 7, 'Oscar': 20, 'Stanley': 5, 'All': 1, 'Kelly': 13, 'Creed': 9, 'Meredith': 12, 'JIm': 1, 'Roy': 8}","{'Dwight': 496, 'Michael': 1383, 'Kevin': 150, 'Jim': 371, 'Angela': 61, 'Phyllis': 60, 'Ryan': 140, 'Pam': 188, 'Darryl': 61, 'Toby': 65, 'Oscar': 169, 'Stanley': 31, 'All': 3, 'Kelly': 97, 'Creed': 41, 'Meredith': 63, 'JIm': 1, 'Roy': 77}"
The Office,2,11,"{'Jim': 32, 'Dwight': 28, 'Pam': 22, 'Michael': 116, 'Phyllis': 8, 'Stanley': 10, 'Meredith': 3, 'Ryan': 6, 'Kelly': 7, 'Oscar': 4, 'Darryl': 5, 'Katy': 14, 'Roy': 16, 'Brenda': 7, 'Angela': 2, 'Jan': 17, 'Toby': 3, 'Creed': 6}","{'Jim': 262, 'Dwight': 366, 'Pam': 155, 'Michael': 1653, 'Phyllis': 35, 'Stanley': 41, 'Meredith': 4, 'Ryan': 46, 'Kelly': 45, 'Oscar': 34, 'Darryl': 28, 'Katy': 98, 'Roy': 184, 'Brenda': 38, 'Angela': 12, 'Jan': 108, 'Toby': 13, 'Creed': 85}"
The Office,2,12,"{'Oscar': 4, 'Jim': 61, 'Pam': 57, 'Michael': 131, 'Phyllis': 3, 'Kevin': 1, 'Dwight': 67, 'Ryan': 16, 'Angela': 6, 'Toby': 13, 'Creed': 1, 'Stanley': 2, 'Meredith': 1, 'Doctor': 5}","{'Oscar': 28, 'Jim': 396, 'Pam': 329, 'Michael': 1574, 'Phyllis': 21, 'Kevin': 3, 'Dwight': 354, 'Ryan': 121, 'Angela': 35, 'Toby': 105, 'Creed': 11, 'Stanley': 9, 'Meredith': 5, 'Doctor': 42}"
The Office,2,13,"{'Jim': 53, 'Pam': 28, 'Michael': 114, 'Stanley': 3, 'Ryan': 14, 'Kevin': 8, 'Dwight': 54, 'Angela': 5, 'Oscar': 9, 'Kelly': 5, 'Dana': 9, 'Toby': 3, 'Phylis': 1, 'Creed': 3, 'Gil': 2}","{'Jim': 472, 'Pam': 202, 'Michael': 1271, 'Stanley': 7, 'Ryan': 80, 'Kevin': 50, 'Dwight': 701, 'Angela': 20, 'Oscar': 53, 'Kelly': 51, 'Dana': 43, 'Toby': 27, 'Phylis': 8, 'Creed': 24, 'Gil': 3}"
The Office,2,14,"{'Ryan': 13, 'Jim': 36, 'Michael': 126, 'Pam': 28, 'Kevin': 8, 'Toby': 8, 'Creed': 9, 'Dwight': 47, 'Kelly': 13, 'Stanley': 8, 'Oscar': 5, 'Roy': 8, 'Angela': 4, 'Phyllis': 2, 'Darryl': 5, 'Ed': 9, 'Packer': 7, 'Todd': 1}","{'Ryan': 108, 'Jim': 311, 'Michael': 1669, 'Pam': 321, 'Kevin': 51, 'Toby': 28, 'Creed': 48, 'Dwight': 407, 'Kelly': 289, 'Stanley': 55, 'Oscar': 40, 'Roy': 43, 'Angela': 30, 'Phyllis': 13, 'Darryl': 24, 'Ed': 65, 'Packer': 25, 'Todd': 10}"
The Office,2,15,"{'Jan': 55, 'Pam': 34, 'Michael': 100, 'Dwight': 20, 'Jim': 26, 'Darryl': 29, 'Roy': 25, 'Kevin': 4, 'Meredith': 5, 'Phyllis': 9, 'Angela': 5, 'Kelly': 9, 'Women': 1, 'Ryan': 2, 'Lonny': 3, 'Madge': 2, 'Guy': 4, 'Men': 1, 'Stanley': 1}","{'Jan': 685, 'Pam': 380, 'Michael': 1243, 'Dwight': 293, 'Jim': 118, 'Darryl': 248, 'Roy': 184, 'Kevin': 34, 'Meredith': 33, 'Phyllis': 61, 'Angela': 69, 'Kelly': 117, 'Women': 0, 'Ryan': 22, 'Lonny': 37, 'Madge': 9, 'Guy': 14, 'Men': 0, 'Stanley': 9}"
The Office,2,16,"{'Pam': 30, 'Meredith': 3, 'Phyllis': 5, 'Michael': 53, 'Dwight': 29, 'Oscar': 5, 'Jim': 25, 'Kelly': 13, 'Ryan': 4, 'Kevin': 8, 'Angela': 4, 'Craig': 12, 'Josh': 11, 'Jan': 16, 'David': 12, 'Dan': 1, 'Roy': 5, 'Creed': 3, 'Receptionist': 2, 'Devon': 1}","{'Pam': 246, 'Meredith': 12, 'Phyllis': 17, 'Michael': 1309, 'Dwight': 283, 'Oscar': 29, 'Jim': 264, 'Kelly': 208, 'Ryan': 21, 'Kevin': 60, 'Angela': 29, 'Craig': 126, 'Josh': 76, 'Jan': 198, 'David': 111, 'Dan': 7, 'Roy': 34, 'Creed': 14, 'Receptionist': 19, 'Devon': 17}"
